Pavarde Vardas ND1 ND2 ND3 ND4 ND5 Egzaminas
Pavarde1 Vardas1 3 1 5 5 5 5
Pavarde2 Vardas2 2 7 2 7 3 6
Pavarde3 Vardas3 5 3 2 2 4 5
Pavarde4 Vardas4 5 5 2 5 4 8
Pavarde5 Vardas5 8 1 5 3 8 8
Pavarde6 Vardas6 1 7 5 5 3 6
Pavarde7 Vardas7 7 4 9 4 2 9
Pavarde8 Vardas8 4 2 5 5 7 4
Pavarde9 Vardas9 8 3 10 7 7 2
Pavarde10 Vardas10 6 3 1 1 8 5
Pavarde11 Vardas11 10 10 5 1 6 3
Pavarde12 Vardas12 5 3 5 4 8 10
Pavarde13 Vardas13 10 7 10 2 5 1
Pavarde14 Vardas14 10 2 4 7 7 3
Pavarde15 Vardas15 4 3 10 9 9 2
Pavarde16 Vardas16 5 3 2 10 1 3
Pavarde17 Vardas17 8 6 9 9 2 7
Pavarde18 Vardas18 1 6 5 10 8 8
Pavarde19 Vardas19 6 7 1 4 10 4
Pavarde20 Vardas20 8 1 6 8 8 1
Pavarde21 Vardas21 7 7 5 7 6 1
Pavarde22 Vardas22 10 9 3 1 9 9
Pavarde23 Vardas23 7 10 2 2 1 9
Pavarde24 Vardas24 8 4 8 4 6 4
Pavarde25 Vardas25 7 7 4 7 7 9
Pavarde26 Vardas26 4 10 2 9 7 3
Pavarde27 Vardas27 10 8 4 10 7 4
Pavarde28 Vardas28 9 5 5 1 10 2
Pavarde29 Vardas29 9 10 7 3 7 9
Pavarde30 Vardas30 4 4 5 2 1 7
Pavarde31 Vardas31 7 1 4 8 4 8
Pavarde32 Vardas32 2 2 7 10 5 4
Pavarde33 Vardas33 8 2 7 1 3 6
Pavarde34 Vardas34 1 7 7 9 2 8
Pavarde35 Vardas35 7 7 1 6 10 5
Pavarde36 Vardas36 6 8 9 10 1 9
Pavarde37 Vardas37 9 3 6 6 9 6
Pavarde38 Vardas38 4 9 2 8 1 7
Pavarde39 Vardas39 6 9 2 5 5 10
Pavarde40 Vardas40 1 10 6 10 5 5
Pavarde41 Vardas41 8 4 8 7 4 7
Pavarde42 Vardas42 3 2 10 8 6 9
Pavarde43 Vardas43 3 8 1 3 3 8
Pavarde44 Vardas44 2 5 10 7 5 9
Pavarde45 Vardas45 7 9 6 10 10 3
Pavarde46 Vardas46 10 10 10 4 10 7
Pavarde47 Vardas47 5 9 2 9 7 3
Pavarde48 Vardas48 4 5 1 6 5 10
Pavarde49 Vardas49 4 5 4 6 7 4
Pavarde50 Vardas50 2 4 4 5 9 9
Pavarde51 Vardas51 3 1 7 5 9 7
Pavarde52 Vardas52 7 1 9 8 8 4
Pavarde53 Vardas53 1 6 2 4 3 1
Pavarde54 Vardas54 5 3 6 7 5 8
Pavarde55 Vardas55 2 7 8 3 7 4
Pavarde56 Vardas56 4 1 7 4 2 4
Pavarde57 Vardas57 8 9 10 3 2 10
Pavarde58 Vardas58 4 5 5 7 8 8
Pavarde59 Vardas59 9 8 3 7 5 5
Pavarde60 Vardas60 7 2 1 4 8 8
Pavarde61 Vardas61 5 6 1 10 10 2
Pavarde62 Vardas62 5 7 4 4 10 4
Pavarde63 Vardas63 7 8 3 5 6 3
Pavarde64 Vardas64 2 1 4 3 6 9
Pavarde65 Vardas65 3 10 4 8 1 9
Pavarde66 Vardas66 9 7 2 5 8 9
Pavarde67 Vardas67 3 2 2 4 5 3
Pavarde68 Vardas68 6 4 4 8 3 4
Pavarde69 Vardas69 4 6 9 2 7 5
